Date,Traffic source,Views
2020-09-01,Direct or unknown,1
2020-09-02,Direct or unknown,4
2020-09-03,Direct or unknown,1
2020-09-04,Direct or unknown,2
2020-09-05,Direct or unknown,1
2020-09-06,Direct or unknown,1
2020-09-07,Direct or unknown,2
2020-09-08,Direct or unknown,2
2020-09-09,Direct or unknown,0
2020-09-10,Direct or unknown,0
2020-09-11,Direct or unknown,0
2020-09-12,Direct or unknown,0
2020-09-13,Direct or unknown,0
2020-09-14,Direct or unknown,1
2020-09-15,Direct or unknown,3
2020-09-16,Direct or unknown,1
2020-09-17,Direct or unknown,0
2020-09-18,Direct or unknown,0
2020-09-19,Direct or unknown,1
2020-09-20,Direct or unknown,0
2020-09-21,Direct or unknown,1
2020-09-22,Direct or unknown,7
2020-09-23,Direct or unknown,6
2020-09-24,Direct or unknown,12
2020-09-25,Direct or unknown,1
2020-09-26,Direct or unknown,0
2020-09-27,Direct or unknown,0
2020-09-28,Direct or unknown,3
2020-09-29,Direct or unknown,5
2020-09-30,Direct or unknown,1
2020-10-01,Direct or unknown,0
2020-10-02,Direct or unknown,2
2020-10-03,Direct or unknown,1
2020-10-04,Direct or unknown,8
2020-10-05,Direct or unknown,5
2020-10-06,Direct or unknown,1
2020-10-07,Direct or unknown,0
2020-10-08,Direct or unknown,2
2020-10-09,Direct or unknown,2
2020-10-10,Direct or unknown,0
2020-10-11,Direct or unknown,0
2020-10-12,Direct or unknown,3
2020-10-13,Direct or unknown,0
2020-10-14,Direct or unknown,0
2020-10-15,Direct or unknown,0
2020-10-16,Direct or unknown,0
2020-10-17,Direct or unknown,0
2020-10-18,Direct or unknown,1
2020-10-19,Direct or unknown,0
2020-10-20,Direct or unknown,0
2020-10-21,Direct or unknown,3
2020-10-22,Direct or unknown,2
2020-10-23,Direct or unknown,1
2020-10-24,Direct or unknown,0
2020-10-25,Direct or unknown,0
2020-10-26,Direct or unknown,1
2020-10-27,Direct or unknown,38
2020-10-28,Direct or unknown,9
2020-10-29,Direct or unknown,7
2020-10-30,Direct or unknown,0
2020-10-31,Direct or unknown,0
2020-11-01,Direct or unknown,0
2020-11-02,Direct or unknown,4
2020-11-03,Direct or unknown,8
2020-11-04,Direct or unknown,2
2020-11-05,Direct or unknown,6
2020-11-06,Direct or unknown,4
2020-11-07,Direct or unknown,0
2020-11-08,Direct or unknown,0
2020-11-09,Direct or unknown,1
2020-11-10,Direct or unknown,3
2020-11-11,Direct or unknown,0
2020-11-12,Direct or unknown,1
2020-11-13,Direct or unknown,4
2020-11-14,Direct or unknown,2
2020-11-15,Direct or unknown,0
2020-11-16,Direct or unknown,0
2020-11-17,Direct or unknown,0
2020-11-18,Direct or unknown,4
2020-11-19,Direct or unknown,5
2020-11-20,Direct or unknown,6
2020-11-21,Direct or unknown,7
2020-11-22,Direct or unknown,6
2020-11-23,Direct or unknown,3
2020-11-24,Direct or unknown,4
2020-11-25,Direct or unknown,2
2020-11-26,Direct or unknown,6
2020-11-27,Direct or unknown,0
2020-11-28,Direct or unknown,0
2020-11-29,Direct or unknown,0
2020-11-30,Direct or unknown,0
2020-12-01,Direct or unknown,0
2020-12-02,Direct or unknown,4
2020-12-03,Direct or unknown,2
2020-12-04,Direct or unknown,2
2020-12-05,Direct or unknown,0
2020-12-06,Direct or unknown,1
2020-12-07,Direct or unknown,10
2020-12-08,Direct or unknown,8
2020-12-09,Direct or unknown,10
2020-12-10,Direct or unknown,2
2020-12-11,Direct or unknown,7
2020-12-12,Direct or unknown,1
2020-12-13,Direct or unknown,0
2020-12-14,Direct or unknown,3
2020-12-15,Direct or unknown,9
2020-12-16,Direct or unknown,6
2020-12-17,Direct or unknown,3
2020-12-18,Direct or unknown,5
2020-12-19,Direct or unknown,3
2020-12-20,Direct or unknown,14
2020-12-21,Direct or unknown,4
2020-12-22,Direct or unknown,1
2020-12-23,Direct or unknown,8
2020-12-24,Direct or unknown,3
2020-12-25,Direct or unknown,0
2020-12-26,Direct or unknown,3
2020-12-27,Direct or unknown,3
2020-12-28,Direct or unknown,1
2020-12-29,Direct or unknown,1
2020-12-30,Direct or unknown,2
2020-12-31,Direct or unknown,0
2021-01-01,Direct or unknown,0
2021-01-02,Direct or unknown,3
2021-01-03,Direct or unknown,2
2021-01-04,Direct or unknown,0
2021-01-05,Direct or unknown,1
2021-01-06,Direct or unknown,4
2021-01-07,Direct or unknown,1
2021-01-08,Direct or unknown,0
2021-01-09,Direct or unknown,4
2021-01-10,Direct or unknown,0
2021-01-11,Direct or unknown,1
2021-01-12,Direct or unknown,3
2021-01-13,Direct or unknown,7
2021-01-14,Direct or unknown,0
2021-01-15,Direct or unknown,5
2021-01-16,Direct or unknown,2
2021-01-17,Direct or unknown,0
2021-01-18,Direct or unknown,1
2021-01-19,Direct or unknown,0
2021-01-20,Direct or unknown,0
2021-01-21,Direct or unknown,6
2021-01-22,Direct or unknown,4
2021-01-23,Direct or unknown,4
2021-01-24,Direct or unknown,1
2021-01-25,Direct or unknown,6
2021-01-26,Direct or unknown,3
2021-01-27,Direct or unknown,2
2021-01-28,Direct or unknown,13
2021-01-29,Direct or unknown,6
2021-01-30,Direct or unknown,2
2021-01-31,Direct or unknown,1
2021-02-01,Direct or unknown,5
2021-02-02,Direct or unknown,1
2021-02-03,Direct or unknown,2
2021-02-04,Direct or unknown,2
2021-02-05,Direct or unknown,1
2021-02-06,Direct or unknown,1
2021-02-07,Direct or unknown,6
2021-02-08,Direct or unknown,25
2021-02-09,Direct or unknown,24
2021-02-10,Direct or unknown,22
2021-02-11,Direct or unknown,28
2021-02-12,Direct or unknown,15
2021-02-13,Direct or unknown,3
2021-02-14,Direct or unknown,135
2021-02-15,Direct or unknown,12
2021-02-16,Direct or unknown,11
2021-02-17,Direct or unknown,5
2021-02-18,Direct or unknown,1
2021-02-19,Direct or unknown,7
2021-02-20,Direct or unknown,3
2021-02-21,Direct or unknown,1
2021-02-22,Direct or unknown,7
2021-02-23,Direct or unknown,6
2021-02-24,Direct or unknown,4
2021-02-25,Direct or unknown,2
2021-02-26,Direct or unknown,3
2021-02-27,Direct or unknown,0
2021-02-28,Direct or unknown,1
2021-03-01,Direct or unknown,1
2021-03-02,Direct or unknown,11
2021-03-03,Direct or unknown,1
2021-03-04,Direct or unknown,4
2021-03-05,Direct or unknown,10
2021-03-06,Direct or unknown,3
2021-03-07,Direct or unknown,0
2021-03-08,Direct or unknown,3
2021-03-09,Direct or unknown,0
2021-03-10,Direct or unknown,0
2021-03-11,Direct or unknown,1
2021-03-12,Direct or unknown,0
2021-03-13,Direct or unknown,0
2021-03-14,Direct or unknown,0
2021-03-15,Direct or unknown,1
2021-03-16,Direct or unknown,0
2021-03-17,Direct or unknown,0
2021-03-18,Direct or unknown,0
2021-03-19,Direct or unknown,2
2021-03-20,Direct or unknown,0
2021-03-21,Direct or unknown,0
2021-03-22,Direct or unknown,0
2021-03-23,Direct or unknown,1
2021-03-24,Direct or unknown,0
2021-03-25,Direct or unknown,7
2021-03-26,Direct or unknown,1
2021-03-27,Direct or unknown,0
2021-03-28,Direct or unknown,1
2021-03-29,Direct or unknown,2
2021-03-30,Direct or unknown,4
2021-03-31,Direct or unknown,0
2021-04-01,Direct or unknown,1
2021-04-02,Direct or unknown,0
2021-04-03,Direct or unknown,0
2021-04-04,Direct or unknown,0
2021-04-05,Direct or unknown,0
2021-04-06,Direct or unknown,0
2021-04-07,Direct or unknown,1
2021-04-08,Direct or unknown,0
2021-04-09,Direct or unknown,0
2021-04-10,Direct or unknown,0
2021-04-11,Direct or unknown,1
2021-04-12,Direct or unknown,2
2021-04-13,Direct or unknown,0
2021-04-14,Direct or unknown,1
2021-04-15,Direct or unknown,1
2021-04-16,Direct or unknown,2
2021-04-17,Direct or unknown,0
2021-04-18,Direct or unknown,0
2021-04-19,Direct or unknown,0
2021-04-20,Direct or unknown,5
2021-04-21,Direct or unknown,4
2021-04-22,Direct or unknown,1
2021-04-23,Direct or unknown,3
2021-04-24,Direct or unknown,2
2021-04-25,Direct or unknown,0
2021-04-26,Direct or unknown,2
2021-04-27,Direct or unknown,4
2021-04-28,Direct or unknown,1
2021-04-29,Direct or unknown,2
2021-04-30,Direct or unknown,0
2021-05-01,Direct or unknown,0
2021-05-02,Direct or unknown,3
2021-05-03,Direct or unknown,3
2021-05-04,Direct or unknown,0
2021-05-05,Direct or unknown,2
2021-05-06,Direct or unknown,2
2021-05-07,Direct or unknown,1
2021-05-08,Direct or unknown,0
2021-05-09,Direct or unknown,1
2021-05-10,Direct or unknown,2
2021-05-11,Direct or unknown,0
2021-05-12,Direct or unknown,0
2021-05-13,Direct or unknown,0
2021-05-14,Direct or unknown,1
2021-05-15,Direct or unknown,0
2021-05-16,Direct or unknown,1
2021-05-17,Direct or unknown,2
2021-05-18,Direct or unknown,1
2021-05-19,Direct or unknown,1
2021-05-20,Direct or unknown,0
2021-05-21,Direct or unknown,0
2021-05-22,Direct or unknown,1
2021-05-23,Direct or unknown,1
2021-05-24,Direct or unknown,2
2021-05-25,Direct or unknown,4
2021-05-26,Direct or unknown,1
2021-05-27,Direct or unknown,1
2021-05-28,Direct or unknown,2
2021-05-29,Direct or unknown,0
2021-05-30,Direct or unknown,0
2021-05-31,Direct or unknown,5
2021-06-01,Direct or unknown,0
2021-06-02,Direct or unknown,5
2021-06-03,Direct or unknown,1
2021-06-04,Direct or unknown,1
2021-06-05,Direct or unknown,0
2021-06-06,Direct or unknown,0
2021-06-07,Direct or unknown,0
2021-06-08,Direct or unknown,3
2021-06-09,Direct or unknown,34
2021-06-10,Direct or unknown,8
2021-06-11,Direct or unknown,9
2021-06-12,Direct or unknown,2
2021-06-13,Direct or unknown,1
2021-06-14,Direct or unknown,4
2021-06-15,Direct or unknown,1
2021-06-16,Direct or unknown,1
2021-06-17,Direct or unknown,0
2021-06-18,Direct or unknown,0
2021-06-19,Direct or unknown,2
2021-06-20,Direct or unknown,3
2021-06-21,Direct or unknown,0
2021-06-22,Direct or unknown,2
2021-06-23,Direct or unknown,1
2021-06-24,Direct or unknown,6
2021-06-25,Direct or unknown,4
2021-06-26,Direct or unknown,1
2021-06-27,Direct or unknown,2
2021-06-28,Direct or unknown,3
2021-06-29,Direct or unknown,0
2021-06-30,Direct or unknown,1
2021-07-01,Direct or unknown,0
2021-07-02,Direct or unknown,1
2021-07-03,Direct or unknown,0
2021-07-04,Direct or unknown,0
2021-07-05,Direct or unknown,1
